fecha,precio_real,pronostico
2017-10-28,157.200716,169.1010644534193
2017-10-29,146.883607,161.19855619232047
2017-10-30,131.012042,153.39026365277834
2017-10-31,109.71150133333332,138.64892226544708
2017-11-01,137.22967766666667,117.51839076494454
2017-11-02,135.529057,132.07352885005068
2017-11-03,144.78157000000002,131.64078870448057
2017-11-04,137.58817833333333,138.8988608965272
2017-11-05,135.60768266666665,133.23980839953165
2017-11-06,131.86139566666665,131.9487354803307
2017-11-07,137.253969,129.72912383388262
2017-11-08,142.7064993333333,135.6630854478221
2017-11-09,148.5554976666667,140.62070548053293
2017-11-10,149.671185,147.05493992531967
2017-11-11,148.57526800000002,144.81001634332293
2017-11-12,139.55214099999998,145.36557310346242
2017-11-13,143.60680766666667,138.12440732796858
2017-11-14,164.56514333333334,142.51775116569215
